x,y,velocity,intensity,distance,speed,angle,label,,,
0.33808659,0.061438038,0.675501749,-0.693268087,0.00684779,0.00506725,-0.393147114,1,,,
-0.531720234,-0.212310836,1.217670011,-0.675780778,-0.236386248,0.764576505,0.577411875,1,,,
-0.280050262,1.286687237,0.404417654,-0.708955415,1.223017986,-0.374687327,0.035712439,2,,label,Type
0.22770501,0.063688736,0.675501749,-0.69326809,0.006847844,0.00506725,-0.285879788,1,,0,Human
-1.582552784,1.824147512,3.277909118,-0.709866955,1.831102898,3.650711269,0.577411861,2,,1,Vehicle
0.117323429,0.187203124,-1.818471967,-0.697862417,0.128464842,1.524085557,-0.178717334,1,,2,Animal
-2.827657055,-0.232481742,-0.408834667,-0.701030931,0.250081811,-0.450638252,2.57106169,1,,,
0.426391855,0.674062637,1.217670011,-0.706093635,0.614932887,0.764576505,-0.39314711,2,,,
1.848106683,0.075371496,0.079116724,-0.69958786,0.189273485,-0.830392842,-1.731262483,1,,,
0.117323429,1.537617289,-1.113653372,-0.70943223,1.466251996,0.536723728,-0.178717334,2,,,
0.117323429,0.678262875,0.892369053,-0.706093636,0.614932952,0.308870952,-0.178717334,2,,,
-0.17408395,-0.125656769,-1.005219719,-0.681694044,-0.175577741,0.384821878,0.143190433,1,,,
0.603002355,-0.13629566,0.838152227,-0.681694043,-0.175577758,0.232920027,-0.716646544,1,,,
-0.394847082,0.296006296,0.675501749,-0.701030931,0.250081821,0.00506725,0.250986704,1,,,
-0.438999743,-0.203953097,0.94658588,-0.675780787,-0.23638616,0.384821878,0.467980388,1,,,
0.117323429,1.476234745,0.838152227,-0.70933122,1.405443408,0.232920027,-0.178717334,2,,,
-2.046155639,0.461745135,-0.734135588,-0.706093636,0.614933003,0.00506725,1.373827866,2,,,
2.497150174,1.354329197,1.271886765,-0.70943223,1.466251998,0.840527329,-1.381852316,2,,,
1.865767587,-0.667773662,-0.02931692,-0.646087013,-0.418811761,-0.98229468,-2.777766406,1,,,
-1.551645973,1.764251786,-0.300401033,-0.709810585,1.770294502,-0.602540078,0.577411849,2,,,
-0.677423952,0.338691271,-1.005219719,-0.702245325,0.310890395,0.384821878,0.467980392,1,,,
0.117323429,0.985175195,-0.951002893,-0.707961403,0.918975496,0.308870952,-0.178717334,2,,,
-1.211670823,1.105397612,1.271886765,-0.708626008,1.10140096,0.840527329,0.577411896,2,,,
1.693572398,-0.682755781,0.024899902,-0.629513003,-0.47962022,-0.906343761,-2.633068509,1,,,
2.095361401,0.296156276,0.45863448,-0.704147834,0.43250735,-0.298736401,-1.731262612,1,,,
-0.412508158,-0.264246939,-0.842569241,-0.66827549,-0.297194688,0.156969101,0.467980392,1,,,
0.642739733,-0.451894136,0.187550367,-0.629512999,-0.479620231,-0.678491004,-0.934846525,1,,,
-0.650932309,2.074379188,1.48875407,-0.710008617,2.013528167,1.144331032,0.143190425,2,,,
2.435336552,0.427612613,-2.414857129,-0.706093636,0.614933004,2.359545839,-1.85146557,2,,,
-0.624440724,-0.032623262,-1.059436546,-0.690192565,-0.053960667,0.460772803,0.577411807,1,,,
0.117323429,-0.36523907,0.295984001,-0.646087014,-0.418811756,-0.526589178,-0.178717334,1,,,
0.324840798,1.413443468,-3.119675653,-0.709219117,1.344635107,3.346907567,-0.285879784,2,,,
-0.438999743,1.096585541,0.241767193,-0.708430483,1.040592319,-0.602540078,0.143190435,2,,,
-0.244728139,1.041637357,1.65140462,-0.708210231,0.979783907,1.372183908,0.035712433,2,,,
1.786292831,0.020175077,0.079116724,-0.697862416,0.128464786,-0.830392842,-1.731262508,1,,,
-1.613459825,0.075371496,0.079116724,-0.69958786,0.189273485,-0.830392842,1.373827814,1,,,
1.618512869,-0.65553996,0.079116724,-0.629513003,-0.479620221,-0.830392842,-2.493500374,1,,,
0.912070753,-1.03887336,0.024899902,0.321714821,-0.966088319,-0.906343761,-2.493500454,1,,,
-0.933509294,-0.742065216,-0.137750563,-0.5342988,-0.662045687,-0.830392842,1.741579407,1,,,
1.724479324,0.100367624,-2.360640231,-0.699587859,0.189273471,2.283594814,-1.613076571,1,,,
2.501565629,-0.176373361,0.350200827,-0.697862417,0.128464816,-0.450638252,-2.493500615,1,,,
-0.094609195,0.000175619,0.892369053,-0.690192565,-0.05396068,0.308870952,0.035712428,1,,,
-0.465491329,1.218809822,-0.896786067,-0.708800062,1.162209375,0.232920027,0.143190432,2,,,
1.132833885,1.318789139,-2.685941042,-0.709094426,1.283826382,2.739300162,-0.716646523,2,,,
0.117323429,1.23070497,1.922488679,-0.708800062,1.162209452,1.751938435,-0.178717334,2,,,
1.618512869,-0.65553996,0.024899902,-0.629513003,-0.479620221,-0.906343761,-2.493500374,1,,,
-0.708330763,-0.898077725,0.838152227,-0.247997792,-0.844471286,0.232920027,1.741579373,1,,,
0.117323429,0.187203124,0.838152227,-0.697862417,0.128464842,0.232920027,-0.178717334,1,,,
-0.699500254,0.773132488,-1.764255214,-0.706993213,0.736549979,1.448134732,0.359211856,2,,,
0.117323429,1.107940082,-2.848591594,-0.708430483,1.040592474,2.96715304,-0.178717334,2,,,
-0.054871831,-0.675665783,-0.083533742,-0.473463392,-0.722854243,-0.906343761,0.143190397,1,,,
1.865767702,0.407677859,0.241767193,-0.704895905,0.493315948,-0.602540078,-1.496675581,1,,,
0.117323429,0.555497987,1.055019532,-0.704895905,0.493315974,0.536723728,-0.178717334,1,,,
0.673646544,-0.391998311,-1.438954257,-0.646087018,-0.418811738,0.99242918,-0.934846493,1,,,
-1.798900691,0.240960056,-0.137750563,-0.703273173,0.371698829,-0.830392842,1.373827812,1,,,
1.207893415,-0.404433067,-2.143772926,-0.658634987,-0.358003166,1.979791111,-1.613076492,1,,,
0.355747638,0.183962978,-1.71003846,-0.697862417,0.128464829,1.372183908,-0.393147105,1,,,
-0.213821328,0.057679653,1.271886765,-0.69326809,0.006847843,0.840527329,0.143190426,1,,,
0.324840798,1.413443468,0.45863448,-0.709219117,1.344635107,-0.298736401,-0.285879784,2,,,
0.435222364,-0.003432488,0.675501749,-0.690192564,-0.053960686,0.00506725,-0.500625068,1,,,
0.117323429,1.598999832,1.868271781,-0.70952344,1.527060583,1.675987409,-0.178717334,2,,,
1.839276116,0.212545544,0.187550367,-0.702245326,0.310890478,-0.678491004,-1.613076534,1,,,
2.104191853,0.156507459,0.404417654,-0.702245326,0.310890447,-0.374687327,-1.851465606,1,,,
0.117323429,0.678262875,1.271886765,-0.706093636,0.614932952,0.840527329,-0.178717334,2,,,
0.117323429,0.985175195,0.892369053,-0.707961403,0.918975496,0.308870952,-0.178717334,2,,,
2.157175023,-0.451177088,0.079116724,-0.681694049,-0.175577688,-0.830392842,-2.633068507,1,,,
0.117323429,1.660382176,1.434537316,-0.709605968,1.587868973,1.068380207,-0.178717334,2,,,
0.488205534,1.102899877,1.271886765,-0.708430483,1.040592476,0.840527329,-0.393147104,2,,,
-0.677423952,-0.616577324,-0.137750563,-0.576818263,-0.601237195,-0.830392842,1.13924085,1,,,
-0.677423895,0.712503839,1.163453185,-0.706574623,0.675741357,0.68862558,0.359211855,2,,,
1.071020263,-0.445868176,0.350200827,-0.646087022,-0.418811721,-0.450638252,-1.49667556,1,,,
1.459563473,-0.679861427,-0.137750563,-0.60725839,-0.540428743,-0.830392842,-2.358342711,1,,,
2.377938155,0.230957332,0.187550367,-0.704147834,0.432507376,-0.678491004,-1.973949148,1,,,
1.176986604,-0.672741773,-1.167870198,-0.576818242,-0.601237232,0.612674654,-1.973949155,1,,,
-0.518474441,-0.527647695,1.163453185,-0.607258381,-0.540428765,0.68862558,0.798775775,1,,,
0.117323429,-0.426621514,-0.734135588,-0.629512995,-0.479620246,0.00506725,-0.178717334,1,,,
2.236649778,0.124639813,0.187550367,-0.702245325,0.310890392,-0.678491004,-1.973949156,1,,,
-0.80988182,-0.642179712,1.000802706,-0.576818256,-0.601237208,0.460772803,1.373827759,1,,,
-1.180763897,-0.311002342,0.621284923,-0.675780779,-0.236386233,-0.070883675,1.373827839,1,,,
-1.207255597,-0.385702847,1.109236358,-0.668275493,-0.297194668,0.612674654,1.494031063,1,,,
1.539038114,-0.200609902,-2.577507534,-0.686403871,-0.114769256,2.587398514,-1.731262543,1,,,
-1.096873916,-1.048646771,0.783935401,-0.247997801,-0.844471282,0.156969101,2.89562713,1,,,
0.117323429,0.862410307,0.729718575,-0.707358871,0.797358518,0.081018176,-0.178717334,2,,,
-0.147592365,0.367750438,1.326103663,-0.702245325,0.310890437,0.916478356,0.035712431,1,,,
2.095361401,0.296156276,0.187550367,-0.704147834,0.43250735,-0.678491004,-1.731262612,1,,,
0.117323429,0.801027763,1.163453185,-0.706993213,0.73654993,0.68862558,-0.178717334,2,,,
0.249781326,0.370451276,1.055019532,-0.702245327,0.310890504,0.536723728,-0.285879781,1,,,
-0.801051311,-0.779059291,-0.19196738,-0.473463411,-0.722854228,-0.754441929,1.616514411,1,,,
-0.659762876,-0.885376909,-0.137750563,-0.247997726,-0.844471309,-0.830392842,1.616514561,1,,,
0.117323429,1.476234745,0.187550367,-0.70933122,1.405443408,-0.678491004,-0.178717334,2,,,
0.117323429,0.003055693,0.729718575,-0.690192562,-0.053960724,0.081018176,-0.178717334,1,,,
1.879013494,-0.590124234,0.024899902,-0.658634991,-0.358003142,-0.906343761,-2.633068418,1,,,
-0.783390235,1.6358288,0.295984001,-0.709605968,1.587868961,-0.526589178,0.250986706,2,,,
1.627343321,-0.581078605,0.024899902,-0.646087026,-0.418811705,-0.906343761,-2.35834239,1,,,
-1.242577634,1.165293338,-1.384737503,-0.708800062,1.162209357,0.916478356,0.57741191,2,,,
0.117323429,0.923792651,1.163453185,-0.707679429,0.858166908,0.68862558,-0.178717334,2,,,
-0.942339746,-0.602586949,-0.19196738,-0.607258402,-0.540428714,-0.754441929,1.494031002,1,,,
0.373408685,0.306487918,-1.493171155,-0.701030932,0.250081868,1.068380207,-0.393147098,1,,,
0.117323429,0.616880331,0.838152227,-0.705538747,0.554124364,0.232920027,-0.178717334,1,,,
1.309444529,0.297018611,0.783935401,-0.702245325,0.31089042,0.156969101,-1.156210464,1,,,
-0.677423952,-0.962614791,0.512851306,-0.033300994,-0.905279748,-0.222785476,1.869574238,1,,,
0.541188676,-0.505422203,-0.679918762,-0.607258407,-0.540428704,-0.070883675,-0.825415013,1,,,
0.165891323,-0.795246043,-0.571485146,-0.247997826,-0.844471273,-0.222785476,-0.285879786,1,,,
0.660400809,1.0354734,1.759838128,-0.708210231,0.979783791,1.524085557,-0.500625105,2,,,
0.117323429,1.783147064,-0.679918762,-0.709748746,1.709485952,-0.070883675,-0.178717334,2,,,
0.117323429,0.923792651,0.729718575,-0.707679429,0.858166908,0.081018176,-0.178717334,2,,,
-0.319787639,0.546576676,-0.951002893,-0.704895905,0.493315964,0.308870952,0.143190409,1,,,
1.848106683,0.075371496,0.838152227,-0.69958786,0.189273485,0.232920027,-1.731262483,1,,,
0.117323429,-0.733533833,-0.463051493,-0.383974043,-0.78366279,-0.374687327,-0.178717334,1,,,
1.543453455,-0.482044501,0.133333541,-0.658634982,-0.358003192,-0.754441929,-2.099014047,1,,,
-0.107854987,-0.431217371,-0.734135588,-0.629512984,-0.47962028,0.00506725,0.143190418,1,,,
0.700138187,1.218809822,0.350200827,-0.708800062,1.162209375,-0.450638252,-0.500625101,2,,,
0.117323429,1.660382176,-3.282326204,-0.709605968,1.587868973,3.574760445,-0.178717334,2,,,
0.117323429,2.151442127,1.542970968,-0.710048175,2.074337281,1.220282058,-0.178717334,2,,,
-0.129931318,0.245225598,-1.926905621,-0.69958786,0.189273497,1.675987409,0.035712426,1,,,
0.117323429,-0.119709194,-1.601604808,-0.681694048,-0.175577701,1.220282058,-0.178717334,1,,,
-1.42801873,1.524668487,0.079116724,-0.70952344,1.52706053,-0.830392842,0.577411894,2,,,
2.095361401,0.018322394,0.024899902,-0.69958786,0.189273494,-0.906343761,-1.973949064,1,,,
0.187967639,-0.488483654,-0.788352415,-0.607258382,-0.540428763,0.081018176,-0.28587979,1,,,
-0.999738142,-0.144359929,0.729718575,-0.686403875,-0.114769197,0.081018176,1.024417696,1,,,
1.397749736,0.220817008,0.838152227,-0.701030931,0.250081786,0.232920027,-1.268420505,1,,,
0.505866581,-0.130300856,-1.54738791,-0.681694046,-0.175577715,1.144331032,-0.608421377,1,,,
-4.297939683,0.925710237,1.380320417,-0.70952344,1.527060609,0.99242918,2.136065676,2,,,
-2.116799713,-0.444898799,0.133333541,-0.686403871,-0.114769258,-0.754441929,2.420331864,1,,,
-0.80988182,-0.245649224,0.404417654,-0.675780785,-0.236386182,-0.374687327,0.910985764,1,,,
-1.273484445,-0.775387229,0.133333541,-0.576818247,-0.601237223,-0.754441929,2.275633711,1,,,
1.39333451,-0.586052807,-0.083533742,-0.629513005,-0.479620212,-0.906343761,-2.099014063,1,,,
-1.057136653,-0.7786441,1.163453185,-0.534298797,-0.662045691,0.68862558,2.00090794,1,,,
0.978299773,-0.628788908,-1.493171155,-0.576818267,-0.601237189,1.068380207,-1.613076534,1,,,
-0.156422874,0.429012758,1.055019532,-0.703273173,0.371698809,0.536723728,0.035712433,1,,,
2.435336552,0.427612613,-2.577507534,-0.706093636,0.614933004,2.587398514,-1.85146557,2,,,
3.362541802,1.186706722,-0.083533742,-0.70943223,1.466251903,-0.906343761,-1.85146572,2,,,
-2.222766053,1.620215906,1.271886765,-0.709748746,1.709485881,0.840527329,0.910985855,2,,,
-0.341863941,-0.697490264,-0.19196738,-0.473463394,-0.722854242,-0.754441929,0.687632333,1,,,
-0.235897629,-0.252102855,1.326103663,-0.668275491,-0.297194682,0.916478356,0.250986705,1,,,
-0.26680444,0.302127915,-0.571485146,-0.701030928,0.250081656,-0.222785476,0.143190425,1,,,
-0.491982856,-0.083365515,1.542970968,-0.686403875,-0.114769205,1.220282058,0.467980368,1,,,
-1.520739163,1.704355862,3.277909118,-0.709748746,1.709485912,3.650711269,0.577411883,2,,,
0.117323429,-0.242474082,-0.896786067,-0.668275491,-0.297194679,0.232920027,-0.178717334,1,,,
0.978299773,-0.765250051,-1.167870198,-0.473463372,-0.72285426,0.612674654,-1.851465745,1,,,
-0.200575506,0.735325158,0.295984001,-0.706574624,0.675741457,-0.526589178,0.035712424,2,,,
0.117323429,0.125820681,-0.951002893,-0.695785646,0.067656354,0.308870952,-0.178717334,1,,,
0.254196581,0.431803464,-1.222087024,-0.703273171,0.371698719,0.68862558,-0.285879791,1,,,
-0.001888675,-0.920114295,-0.246184207,0.32171471,-0.966088304,-0.678491004,0.143190416,1,,,
0.117323429,-0.303856527,-0.788352415,-0.658634986,-0.358003169,0.081018176,-0.178717334,1,,,
-0.147592365,-0.74258096,-0.137750563,-0.383974054,-0.783662784,-0.830392842,0.359211893,1,,,
2.236649778,0.124639813,0.404417654,-0.702245325,0.310890392,-0.374687327,-1.973949156,1,,,
0.117323429,1.23070497,-2.848591594,-0.708800062,1.162209452,2.96715304,-0.178717334,2,,,
-0.973246557,-0.404433067,0.404417654,-0.658634987,-0.358003166,-0.374687327,1.255641824,1,,,
0.117323429,1.537617289,-3.065458899,-0.70943223,1.466251996,3.270956743,-0.178717334,2,,,
0.470544487,0.980375036,-2.685941042,-0.707961403,0.918975535,2.739300162,-0.3931471,2,,,
-0.465491329,-0.143659357,-1.113653372,-0.681694045,-0.175577729,0.536723728,0.467980433,1,,,
0.523527629,-0.069399806,-1.764255214,-0.686403876,-0.114769183,1.448134732,-0.608421364,1,,,
1.335935999,1.303392328,1.055019532,-0.709094427,1.283826444,0.536723728,-0.825415037,2,,,
-1.088043464,-0.292255247,-1.005219719,-0.67578078,-0.236386229,0.384821878,1.255642007,1,,,
-1.012983934,-0.619583014,1.597187722,-0.607258392,-0.54042874,1.296232882,1.61651448,1,,,
-0.75689865,-0.174219321,1.326103663,-0.681694045,-0.175577731,0.916478356,0.798775783,1,,,
-1.030644953,-0.348344057,3.277909118,-0.6682755,-0.297194617,3.650711269,1.255641743,1,,,
1.234385,-1.000673105,-0.19196738,-0.247997754,-0.8444713,-0.754441929,-2.928496422,1,,,
2.435336552,-0.665486268,0.024899902,-0.675780779,-0.236386232,-0.906343761,-3.253061873,1,,,
-1.141026634,-0.729252764,0.512851306,-0.57681825,-0.601237217,-0.222785476,2.000907995,1,,,
0.117323429,-0.242474082,-0.951002893,-0.668275491,-0.297194679,0.308870952,-0.178717334,1,,,
0.276272896,-0.736777924,-0.51726832,-0.383974076,-0.783662771,-0.298736401,-0.500625067,1,,,
0.117323429,0.003055693,0.94658588,-0.690192562,-0.053960724,0.384821878,-0.178717334,1,,,
-0.244728139,1.041637357,1.326103663,-0.708210231,0.979783907,0.916478356,0.035712433,2,,,
0.201213432,-0.30442609,-0.896786067,-0.658634994,-0.358003128,0.232920027,-0.285879783,1,,,
0.541188676,1.470474596,0.512851306,-0.70933122,1.405443494,-0.222785476,-0.393147097,2,,,
0.70455347,-0.332102386,0.512851306,-0.658634992,-0.358003138,-0.222785476,-0.934846543,1,,,
-0.518474441,-0.787286571,-0.083533742,-0.383974079,-0.783662769,-0.906343761,1.139240855,1,,,
-2.849733185,1.179296193,0.079116724,-0.70933122,1.405443476,-0.830392842,1.373827736,2,,,
-0.677423895,0.712503839,1.65140462,-0.706574623,0.675741357,1.372183908,0.359211855,2,,,
-0.544966084,0.037222166,0.675501749,-0.69326809,0.006847856,0.00506725,0.467980419,1,,,
0.523527629,1.347949557,0.404417654,-0.709094426,1.283826356,-0.374687327,-0.393147109,2,,,
0.117323429,0.248585668,1.217670011,-0.699587858,0.18927343,0.764576505,-0.178717334,1,,,
-0.037210784,0.677213614,-1.438954257,-0.706093636,0.614932964,0.99242918,-0.071554883,2,,,
-0.995322801,-0.914334475,0.729718575,-0.383974053,-0.783662784,0.081018176,2.275633667,1,,,
1.54786868,0.650446884,0.838152227,-0.706574623,0.675741352,0.232920027,-1.156210472,2,,,
0.965053923,-0.559674308,-1.330520604,-0.607258391,-0.54042874,0.840527329,-1.496675524,1,,,
0.117323429,1.292087514,-2.957025391,-0.708955415,1.22301804,3.119055094,-0.178717334,2,,,
-0.973246557,-0.828035537,-0.19196738,-0.473463355,-0.722854274,-0.754441929,2.000907959,1,,,
1.291783511,-0.421394782,-2.306423477,-0.658634983,-0.358003188,2.207643989,-1.731262597,1,,,
-2.355223978,0.390433758,0.187550367,-0.706093636,0.614933005,-0.678491004,1.61651442,2,,,
1.39333451,-0.586052807,0.024899902,-0.629513005,-0.479620212,-0.906343761,-2.099014063,1,,,
-1.66202754,0.268634255,-0.896786067,-0.703273171,0.371698735,0.232920027,1.255641949,1,,,
-0.986492349,1.561303338,-1.330520604,-0.70952344,1.527060474,0.840527329,0.359211873,2,,,
0.541188676,-0.756923617,0.187550367,-0.383974043,-0.783662789,-0.678491004,-1.045067011,1,,,
0.223289741,-0.73497387,-0.19196738,-0.383974081,-0.783662768,-0.754441929,-0.393147097,1,,,
0.117323429,0.309968012,-0.896786067,-0.701030931,0.25008182,0.232920027,-0.178717334,1,,,
0.346917114,1.720205808,-3.22810945,-0.709680787,1.648677569,3.498809621,-0.285879787,2,,,
0.713383979,1.279922162,0.187550367,-0.708955416,1.223018099,-0.678491004,-0.500625077,2,,,
0.435222364,0.735325158,0.838152227,-0.706574624,0.675741457,0.232920027,-0.393147092,2,,,
0.753121299,-0.991694427,-0.19196738,0.321714723,-0.966088306,-0.754441929,-1.973949137,1,,,
0.117323429,1.292087514,-0.951002893,-0.708955415,1.22301804,0.308870952,-0.178717334,2,,,
0.117323429,0.923792651,0.350200827,-0.707679429,0.858166908,-0.450638252,-0.178717334,2,,,
-0.438999686,-0.391998311,0.729718575,-0.646087018,-0.418811738,0.081018176,0.577411824,1,,,
1.971733927,0.185763936,0.404417654,-0.702245325,0.31089044,-0.374687327,-1.731262428,1,,,
-1.057136653,-0.421394782,0.621284923,-0.658634983,-0.358003188,-0.070883675,1.373827928,1,,,
0.298349213,1.045328342,0.892369053,-0.708210231,0.979783839,0.308870952,-0.285879789,2,,,
0.011357117,-0.981226385,0.024899902,0.942972477,-1.026896782,-0.906343761,0.143190388,0,,,
0.117323429,0.003055693,-0.788352415,-0.690192562,-0.053960724,0.081018176,-0.178717334,1,,,
0.117323429,0.616880331,1.163453185,-0.705538747,0.554124364,0.68862558,-0.178717334,1,,,
-0.26680444,0.302127915,0.729718575,-0.701030928,0.250081656,0.081018176,0.143190425,1,,,
1.335935999,-0.161352898,0.567068132,-0.686403872,-0.114769238,-0.14683455,-1.496675555,1,,,
-2.134460846,0.090001132,0.187550367,-0.702245325,0.310890391,-0.678491004,1.741579416,1,,,
0.912070753,0.712503839,-0.679918762,-0.706574623,0.675741357,-0.070883675,-0.716646524,2,,,
-0.571457612,0.905016597,-1.005219719,-0.707679429,0.858166955,0.384821878,0.250986695,2,,,
0.117323429,1.476234745,1.922488679,-0.70933122,1.405443408,1.751938435,-0.178717334,2,,,
1.221139207,1.561303338,3.332126161,-0.70952344,1.527060474,3.726662499,-0.716646542,2,,,
-0.933509179,-0.531787322,0.567068132,-0.629512986,-0.479620275,-0.14683455,1.373827888,1,,,
-0.200575506,0.735325158,-1.438954257,-0.706574624,0.675741457,0.99242918,0.035712424,2,,,
-1.790070239,1.73927543,-1.764255214,-0.709810585,1.7702944,1.448134732,0.68763238,2,,,
0.117323429,1.107940082,-3.119675653,-0.708430483,1.040592474,3.346907567,-0.178717334,2,,,
0.435222364,-0.746597517,-0.51726832,-0.383974084,-0.783662766,-0.298736401,-0.825415035,1,,,
0.117323429,1.72176472,-0.734135588,-0.709680787,1.648677562,0.00506725,-0.178717334,2,,,
-1.141026634,-0.439923897,1.163453185,-0.65863498,-0.358003201,0.68862558,1.494031085,1,,,
0.329256052,1.474795656,0.45863448,-0.709331219,1.405443322,-0.298736401,-0.28587979,2,,,
0.342501845,-0.431217371,-0.896786067,-0.629512984,-0.47962028,0.232920027,-0.500625087,1,,,
-0.227067091,0.118791793,1.055019532,-0.695785646,0.067656369,0.536723728,0.143190397,1,,,
-2.143291298,0.230957332,-0.625701972,-0.704147834,0.432507376,-0.14683455,1.616514479,1,,,
-0.597949197,-0.409838237,0.621284923,-0.646087015,-0.418811751,-0.070883675,0.798775803,1,,,
-0.094609195,1.474795656,-1.926905621,-0.709331219,1.405443322,1.675987409,-0.071554879,2,,,
0.382239223,0.367750438,1.109236358,-0.702245325,0.310890437,0.612674654,-0.3931471,1,,,
0.642739733,-0.451894136,-1.493171155,-0.629512999,-0.479620231,1.068380207,-0.934846525,1,,,
1.786292831,-0.636440032,0.133333541,-0.64608702,-0.418811732,-0.754441929,-2.633068395,1,,,
-0.138761827,0.306487918,1.109236358,-0.701030932,0.250081868,0.612674654,0.035712429,1,,,
1.896674398,0.268634255,0.133333541,-0.703273171,0.371698735,-0.754441929,-1.613076618,1,,,
1.39333451,-0.586052807,0.079116724,-0.629513005,-0.479620212,-0.830392842,-2.099014063,1,,,
-2.200689694,0.427612613,-0.951002893,-0.706093636,0.614933004,0.308870952,1.494030901,2,,,
1.124003433,-0.877426923,-0.951002893,-0.383974045,-0.783662788,0.308870952,-2.358342699,1,,,
0.117323429,0.616880331,-1.384737503,-0.705538747,0.554124364,0.916478356,-0.178717334,1,,,
0.117323429,0.248585668,1.271886765,-0.699587858,0.18927343,0.840527329,-0.178717334,1,,,
0.647155016,-0.578623707,-1.54738791,-0.576818205,-0.601237294,1.144331032,-1.04506708,1,,,
2.104191853,0.156507459,0.024899902,-0.702245326,0.310890447,-0.906343761,-1.851465606,1,,,
0.117323429,0.309968012,-1.384737503,-0.701030931,0.25008182,0.916478356,-0.178717334,1,,,
-0.041626039,-0.367399101,-0.734135588,-0.646087027,-0.4188117,0.00506725,0.035712423,1,,,
0.117323429,1.23070497,-3.119675653,-0.708800062,1.162209452,3.346907567,-0.178717334,2,,,
-2.359639203,0.246013642,-0.246184207,-0.704895905,0.49331595,-0.678491004,1.741579318,1,,,
0.329256052,0.000175619,-0.842569241,-0.690192565,-0.05396068,0.156969101,-0.393147097,1,,,
-0.677423895,0.712503839,1.48875407,-0.706574623,0.675741357,1.144331032,0.359211855,2,,,
0.117323429,1.353469858,-2.957025391,-0.709094427,1.28382643,3.119055094,-0.178717334,2,,,
-2.00200292,0.264949461,-0.951002893,-0.704147835,0.432507427,0.308870952,1.494031002,1,,,
-0.553796593,0.844115547,-0.734135588,-0.707358871,0.797358424,0.00506725,0.250986721,2,,,
-0.743652915,-0.765250051,-0.19196738,-0.473463372,-0.72285426,-0.754441929,1.494031076,1,,,
-0.677423895,0.712503839,-0.788352415,-0.706574623,0.675741357,0.081018176,0.359211855,2,,,
0.514697119,0.363240255,-1.601604808,-0.702245324,0.310890382,1.220282058,-0.500625081,1,,,
0.117323429,-0.242474082,-0.842569241,-0.668275491,-0.297194679,0.156969101,-0.178717334,1,,,
0.117323429,1.783147064,1.109236358,-0.709748746,1.709485952,0.612674654,-0.178717334,2,,,
1.622928095,0.316775026,0.187550367,-0.703273171,0.371698708,-0.678491004,-1.381852415,1,,,
-1.008568593,-0.548365899,1.868271781,-0.629513008,-0.479620204,1.675987409,1.494030836,1,,,
-0.156422874,0.429012758,1.326103663,-0.703273173,0.371698809,0.916478356,0.035712433,1,,,
-1.008568593,-0.548365899,0.567068132,-0.629513008,-0.479620204,-0.14683455,1.494030836,1,,,
-0.624440839,-0.673480389,-0.19196738,-0.534298794,-0.662045695,-0.754441929,1.139240919,1,,,
