frame_num,x,y,z,velocity,is_line,screen_x,screen_y,distance,speed,angle,cluster
277,0.0,15.82868576,0,5.013124943,False,1010,580,15.82868576,5.013124943,90.0,0
277,0.512966692,16.40691757,0,5.013124943,False,1030,574,16.414934632092695,5.013124943,88.2092153939368,0
277,0.0,15.24243832,0,5.37120533,False,1010,586,15.24243832,5.37120533,90.0,0
277,0.49464643,15.82095528,0,5.37120533,False,1030,580,15.828686018190886,5.37120533,88.2092153698911,0
277,0.512966692,16.40691757,0,5.37120533,False,1030,574,16.414934632092695,5.37120533,88.2092153939368,0
277,0.531286895,16.99287796,0,5.37120533,False,1030,568,17.001181345078717,5.37120533,88.20921541496328,0
277,0.476326197,15.23499393,0,5.729285717,False,1030,586,15.24243834473623,5.729285717,88.20921534545857,0
277,0.49464643,15.82095528,0,5.729285717,False,1030,580,15.828686018190886,5.729285717,88.2092153698911,0
277,0.512966692,16.40691757,0,5.729285717,False,1030,574,16.414934632092695,5.729285717,88.2092153939368,0
277,0.0,17.00118065,0,5.729285717,False,1010,568,17.00118065,5.729285717,90.0,0
277,5.276228428,7.755327225,0,-1.074241042,False,1409,753,9.379961982399585,1.074241042,55.77113505446657,0
277,5.605992794,8.240035057,0,-1.074241042,False,1412,734,9.966209557648732,1.074241042,55.77113424359505,0
277,5.862476349,7.322230339,0,-0.716160715,False,1477,772,9.379961944483378,0.716160715,51.31781150033688,0
277,6.228880882,7.779870033,0,-0.716160715,False,1480,752,9.966209649235587,0.716160715,51.31781364216146,0
2648,-3.590766907,16.01737976,0,6.445446491,False,870,578,16.41493409540422,6.445446491,102.6356253564042,2
2648,-2.564833403,16.21331787,0,6.803526878,False,911,576,16.414933650149365,6.803526878,98.98929941642037,0
2648,0.0,18.17367554,0,7.161607265,False,1010,557,18.17367554,7.161607265,90.0,0
165,0.0,32.24361801,0,7.87776804,False,1010,511,32.24361801,7.87776804,90.0,1
165,0.0,32.24361801,0,8.235848427,False,1010,511,32.24361801,8.235848427,90.0,1
165,-1.025933385,32.81383514,0,8.235848427,False,990,510,32.82986926421664,8.235848427,91.7907846078076,1
2543,-4.946464539,7.270618916,0,0.716160715,False,603,788,8.793714281080634,0.716160715,124.22886834435887,2
2543,-5.899116993,5.706394672,0,1.074241042,False,405,876,8.207467419961615,1.074241042,135.95137216620282,2
756,2.857957125,7.065059185,0,1.074241042,False,1251,798,7.62121907675479,1.074241042,67.9756873963808,2
756,2.05186677,7.946846008,0,1.074241042,False,1166,759,8.207467253464722,1.074241042,75.52248812673488,2
1466,-3.022839308,5.696356773,0,0.0,False,714,855,6.448723747168342,0.0,117.95318740153388,2
1466,-3.737328529,5.960134029,0,0.0,False,658,837,7.034971370042743,0.0,122.08995114731303,2
1466,0.0,23.4499054,0,-6.803526878,False,1010,512,23.4499054,6.803526878,90.0,1
1466,-10.25933361,21.086586,0,-6.803526878,False,703,526,23.449904802720877,6.803526878,115.944480475599,1
1466,0.0,22.863657,0,-6.445446491,False,1010,515,22.863657,6.445446491,90.0,1
1466,-2.198428631,23.34662628,0,-6.445446491,False,950,512,23.449905055321377,6.445446491,95.37937906980054,1
1466,-3.004518986,23.84762955,0,-6.445446491,False,930,510,24.03615130363569,6.445446491,97.18075595695586,1
1466,-5.276228428,20.43474388,0,-5.729285717,False,847,530,21.104912789813483,5.729285717,104.4775128323461,1
1466,-3.737328529,5.960134029,0,-1.432321429,False,658,837,7.034971370042743,1.432321429,122.08995114731303,2
1466,-2.931238174,5.077053547,0,-1.074241042,False,695,902,5.862476435075892,1.074241042,119.99999950866373,2
1466,-3.224361897,5.584758282,0,-1.074241042,False,689,863,6.448723494707541,1.074241042,120.0000015352674,2
1466,-3.737328529,5.960134029,0,-1.074241042,False,658,837,7.034971370042743,1.074241042,122.08995114731303,2
1466,-4.286935806,6.301203251,0,-1.074241042,False,625,816,7.621219129193034,1.074241042,124.22886674452722,2
1466,-3.077800274,7.608525753,0,-1.074241042,False,775,750,8.207467250053375,1.074241042,112.02431325294994,2
1466,-2.748035908,8.353304863,0,-1.074241042,False,817,722,8.793713861951437,1.074241042,108.20995910129648,2
1466,-3.114440441,4.966778755,0,-0.716160715,False,669,912,5.862476478558837,0.716160715,122.08994908484559,2
1466,-3.425884485,5.463456154,0,-0.716160715,False,663,871,6.448723722663593,0.716160715,122.08995133320279,2
1466,-3.737328529,5.960134029,0,-0.716160715,False,658,837,7.034971370042743,0.716160715,122.08995114731303,2
1466,-4.286935806,6.301203251,0,-0.716160715,False,625,816,7.621219129193034,0.716160715,124.22886674452722,2
1466,-1.428978562,7.486053944,0,-0.716160715,False,900,755,7.621219284545849,0.716160715,100.8069224626923,2
1466,-3.077800274,7.608525753,0,-0.716160715,False,775,750,8.207467250053375,0.716160715,112.02431325294994,2
1466,-2.473232269,8.438752174,0,-0.716160715,False,837,719,8.793714579778706,0.716160715,106.33482307560762,2
1466,-2.638114214,9.001335144,0,-0.716160715,False,837,699,9.379961672667877,0.716160715,106.33482273970752,2
1466,-5.862476349,7.322230339,0,-0.716160715,False,547,763,9.379961944483378,0.716160715,128.6821884996631,2
1466,-8.720433235,4.82487011,0,-0.716160715,False,31,925,9.966209278580497,0.716160715,151.04497700852542,2
1466,-5.605992794,8.240035057,0,-0.716160715,False,611,725,9.966209557648732,0.716160715,124.22886575640496,2
1466,-3.114440441,4.966778755,0,-0.358080357,False,669,912,5.862476478558837,0.358080357,122.08994908484559,2
1466,-3.425884485,5.463456154,0,-0.358080357,False,663,871,6.448723722663593,0.358080357,122.08995133320279,2
