frame_num,x,y,z,velocity,is_line,screen_x,screen_y
277,0,15.82868576,0,5.013124943,FALSE,1010,580
277,0.512966692,16.40691757,0,5.013124943,FALSE,1030,574
277,0,15.24243832,0,5.37120533,FALSE,1010,586
277,0.49464643,15.82095528,0,5.37120533,FALSE,1030,580
277,0.512966692,16.40691757,0,5.37120533,FALSE,1030,574
277,0.531286895,16.99287796,0,5.37120533,FALSE,1030,568
277,0.476326197,15.23499393,0,5.729285717,FALSE,1030,586
277,0.49464643,15.82095528,0,5.729285717,FALSE,1030,580
277,0.512966692,16.40691757,0,5.729285717,FALSE,1030,574
277,0,17.00118065,0,5.729285717,FALSE,1010,568
277,5.276228428,7.755327225,0,-1.074241042,FALSE,1409,753
277,5.605992794,8.240035057,0,-1.074241042,FALSE,1412,734
277,5.862476349,7.322230339,0,-0.716160715,FALSE,1477,772
277,6.228880882,7.779870033,0,-0.716160715,FALSE,1480,752
2648,-3.590766907,16.01737976,0,6.445446491,FALSE,870,578
2648,-2.564833403,16.21331787,0,6.803526878,FALSE,911,576
2648,0,18.17367554,0,7.161607265,FALSE,1010,557
165,0,32.24361801,0,7.87776804,FALSE,1010,511
165,0,32.24361801,0,8.235848427,FALSE,1010,511
165,-1.025933385,32.81383514,0,8.235848427,FALSE,990,510
2543,-4.946464539,7.270618916,0,0.716160715,FALSE,603,788
2543,-5.899116993,5.706394672,0,1.074241042,FALSE,405,876
756,2.857957125,7.065059185,0,1.074241042,FALSE,1251,798
756,2.05186677,7.946846008,0,1.074241042,FALSE,1166,759
1466,-3.022839308,5.696356773,0,0,FALSE,714,855
1466,-3.737328529,5.960134029,0,0,FALSE,658,837
1466,0,23.4499054,0,-6.803526878,FALSE,1010,512
1466,-10.25933361,21.086586,0,-6.803526878,FALSE,703,526
1466,0,22.863657,0,-6.445446491,FALSE,1010,515
1466,-2.198428631,23.34662628,0,-6.445446491,FALSE,950,512
1466,-3.004518986,23.84762955,0,-6.445446491,FALSE,930,510
1466,-5.276228428,20.43474388,0,-5.729285717,FALSE,847,530
1466,-3.737328529,5.960134029,0,-1.432321429,FALSE,658,837
1466,-2.931238174,5.077053547,0,-1.074241042,FALSE,695,902
1466,-3.224361897,5.584758282,0,-1.074241042,FALSE,689,863
1466,-3.737328529,5.960134029,0,-1.074241042,FALSE,658,837
1466,-4.286935806,6.301203251,0,-1.074241042,FALSE,625,816
1466,-3.077800274,7.608525753,0,-1.074241042,FALSE,775,750
1466,-2.748035908,8.353304863,0,-1.074241042,FALSE,817,722
1466,-3.114440441,4.966778755,0,-0.716160715,FALSE,669,912
1466,-3.425884485,5.463456154,0,-0.716160715,FALSE,663,871
1466,-3.737328529,5.960134029,0,-0.716160715,FALSE,658,837
1466,-4.286935806,6.301203251,0,-0.716160715,FALSE,625,816
1466,-1.428978562,7.486053944,0,-0.716160715,FALSE,900,755
1466,-3.077800274,7.608525753,0,-0.716160715,FALSE,775,750
1466,-2.473232269,8.438752174,0,-0.716160715,FALSE,837,719
1466,-2.638114214,9.001335144,0,-0.716160715,FALSE,837,699
1466,-5.862476349,7.322230339,0,-0.716160715,FALSE,547,763
1466,-8.720433235,4.82487011,0,-0.716160715,FALSE,31,925
1466,-5.605992794,8.240035057,0,-0.716160715,FALSE,611,725
1466,-3.114440441,4.966778755,0,-0.358080357,FALSE,669,912
1466,-3.425884485,5.463456154,0,-0.358080357,FALSE,663,871
1466,-3.737328529,5.960134029,0,-0.358080357,FALSE,658,837
1466,-4.286935806,6.301203251,0,-0.358080357,FALSE,625,816
1466,-1.90530479,7.37921381,0,-0.358080357,FALSE,861,761
1466,-2.821316719,7.707314014,0,-0.358080357,FALSE,797,746
1466,-2.473232269,8.438752174,0,-0.358080357,FALSE,837,719
1466,-6.155600071,7.077589989,0,-0.358080357,FALSE,510,774
1466,-2.931238174,8.91019249,0,-0.358080357,FALSE,816,702
3024,0.293123811,9.375380516,0,-4.296964169,FALSE,1029,688
3024,0.476326197,7.606319427,0,-3.580803633,FALSE,1046,751
3024,0.512966692,8.191421509,0,-3.580803633,FALSE,1047,728
3024,0.714489281,7.587653637,0,-3.222723246,FALSE,1065,752
3024,0.512966692,8.191421509,0,-3.222723246,FALSE,1047,728
